Filme;Previsao;Chance_Vitoria_%;Modelo
The Hurt Locker;1;100.0;ARVORE_DECISAO
The Irishman;0;0.0;ARVORE_DECISAO
The King's Speech;1;100.0;ARVORE_DECISAO
The Lord of the Rings: The Return of the King;1;100.0;ARVORE_DECISAO
The Lost Daughter;0;0.0;ARVORE_DECISAO
The Post;0;0.0;ARVORE_DECISAO
The Power of the Dog;0;0.0;ARVORE_DECISAO
The Queen;0;0.0;ARVORE_DECISAO
The Revenant;0;0.0;ARVORE_DECISAO
The Rider;0;0.0;ARVORE_DECISAO
The Shape of Water;1;100.0;ARVORE_DECISAO
The Social Network;0;0.0;ARVORE_DECISAO
The Trial of the Chicago 7;0;40.0;ARVORE_DECISAO
Three Billboards Outside Ebbing;0;0.0;ARVORE_DECISAO
Tick Tick... Boom!;0;0.0;ARVORE_DECISAO
Top Gun: Maverick;0;0.0;ARVORE_DECISAO
Up in the Air;0;0.0;ARVORE_DECISAO
Walk the line;0;0.0;ARVORE_DECISAO
Winter's Bone;0;0.0;ARVORE_DECISAO
Zero Dark Thirty;0;0.0;ARVORE_DECISAO
1917;1;51.0;FLORESTA_ALEATORIA
12 Years a Slave;1;72.0;FLORESTA_ALEATORIA
A Most Violent Year;0;0.0;FLORESTA_ALEATORIA
A Star Is Born;0;0.0;FLORESTA_ALEATORIA
All Quiet on the Western Front;0;2.83;FLORESTA_ALEATORIA
American Hustle;0;38.16;FLORESTA_ALEATORIA
Argo;1;91.0;FLORESTA_ALEATORIA
Atonement;0;3.0;FLORESTA_ALEATORIA
Avatar;0;1.0;FLORESTA_ALEATORIA
Babel;0;1.0;FLORESTA_ALEATORIA
Beginners The Tree of Life;0;0.0;FLORESTA_ALEATORIA
Birdman;1;95.07;FLORESTA_ALEATORIA
Black Panther;0;38.16;FLORESTA_ALEATORIA
Bohemian Rhapsody;0;1.0;FLORESTA_ALEATORIA
Boyhood;0;3.0;FLORESTA_ALEATORIA
Brokeback Mountain;0;21.0;FLORESTA_ALEATORIA
Call Me by Your Name;0;0.0;FLORESTA_ALEATORIA
Capote;0;0.0;FLORESTA_ALEATORIA
CODA;1;88.94;FLORESTA_ALEATORIA
Crash;0;38.16;FLORESTA_ALEATORIA
Da 5 Bloods;0;0.0;FLORESTA_ALEATORIA
Dreamgirls;0;0.0;FLORESTA_ALEATORIA
Everything Everywhere All at Once;1;95.07;FLORESTA_ALEATORIA
Finding Neverland;0;0.0;FLORESTA_ALEATORIA
Ford vs. Ferrari;0;0.0;FLORESTA_ALEATORIA
Fox Searchlight Pictures;0;0.0;FLORESTA_ALEATORIA
Frozen River;0;0.0;FLORESTA_ALEATORIA
Gisaengchung;0;38.16;FLORESTA_ALEATORIA
God's Own Country;0;0.0;FLORESTA_ALEATORIA
Good Night;0;0.0;FLORESTA_ALEATORIA
Gravity;0;48.17;FLORESTA_ALEATORIA
Green Book;1;85.0;FLORESTA_ALEATORIA
Half Nelson;0;0.0;FLORESTA_ALEATORIA
Happy-Go-Lucky;0;0.0;FLORESTA_ALEATORIA
Her;0;0.0;FLORESTA_ALEATORIA
Hidden Figures;0;38.16;FLORESTA_ALEATORIA
Hotel Ruanda;0;0.0;FLORESTA_ALEATORIA
Hugo;0;0.0;FLORESTA_ALEATORIA
If Beale Street Could Talk;0;0.0;FLORESTA_ALEATORIA
